"date","CPILFESL","UNRATE","Inflation","d_I","d_UNEMP","d_I_1","d_UNEMP_1","d_UNEMP_2","d_UNEMP_3","d_UNEMP_4"
1958-03-01,29.5,6.7,2.74931405801988,-0.0094815938630255,0.3,-0.00954722295878341,0.6,0.6,0.100000000000001,0.6
1958-04-01,29.5,7.4,2.40148762038741,-0.34782643763247,0.7,-0.0094815938630255,0.3,0.6,0.6,0.100000000000001
1958-05-01,29.5,7.4,2.40148762038741,0,0,-0.34782643763247,0.7,0.3,0.6,0.6
1958-06-01,29.6,7.3,2.39327662116282,-0.00821099922458934,-0.100000000000001,0,0,0.7,0.3,0.6
1958-07-01,29.6,7.5,2.04785313435405,-0.345423486808771,0.2,-0.00821099922458934,-0.100000000000001,0,0.7,0.3
1958-08-01,29.6,7.4,2.04785313435405,0,-0.0999999999999996,-0.345423486808771,0.2,-0.100000000000001,0,0.7
1958-09-01,29.7,7.1,2.0408871631207,-0.00696597123335252,-0.300000000000001,0,-0.0999999999999996,0.2,-0.100000000000001,0
1958-10-01,29.7,6.7,1.6978336534418,-0.343053509678892,-0.399999999999999,-0.00696597123335252,-0.300000000000001,-0.0999999999999996,0.2,-0.100000000000001
1958-11-01,29.8,6.2,1.69208774883369,-0.00574590460811208,-0.5,-0.343053509678892,-0.399999999999999,-0.300000000000001,-0.0999999999999996,0.2
1958-12-01,29.9,6.2,2.02709643736187,0.335008688528182,0,-0.00574590460811208,-0.5,-0.399999999999999,-0.300000000000001,-0.0999999999999996
1959-01-01,29.9,6,2.02709643736187,0,-0.2,0.335008688528182,0,-0.5,-0.399999999999999,-0.300000000000001
1959-02-01,29.9,5.9,1.68638060520045,-0.34071583216142,-0.0999999999999996,0,-0.2,0,-0.5,-0.399999999999999
1959-03-01,30,5.6,1.68071183163812,-0.00566877356233952,-0.300000000000001,-0.34071583216142,-0.0999999999999996,-0.2,0,-0.5
1959-04-01,30,5.2,1.68071183163812,0,-0.399999999999999,-0.00566877356233952,-0.300000000000001,-0.0999999999999996,-0.2,0
1959-05-01,30.1,5.1,2.01349084090556,0.332779009267448,-0.100000000000001,0,-0.399999999999999,-0.300000000000001,-0.0999999999999996,-0.2
1959-06-01,30.2,5,2.00675630508091,-0.00673453582464845,-0.0999999999999996,0.332779009267448,-0.100000000000001,-0.399999999999999,-0.300000000000001,-0.0999999999999996
1959-07-01,30.2,5.1,2.00675630508091,0,0.0999999999999996,-0.00673453582464845,-0.0999999999999996,-0.100000000000001,-0.399999999999999,-0.300000000000001
1959-08-01,30.2,5.2,2.00675630508091,0,0.100000000000001,0,0.0999999999999996,-0.0999999999999996,-0.100000000000001,-0.399999999999999
1959-09-01,30.3,5.5,2.00006667066694,-0.00668963441396997,0.3,0,0.100000000000001,0.0999999999999996,-0.0999999999999996,-0.100000000000001
1959-10-01,30.4,5.7,2.32955626035221,0.329489589685261,0.2,-0.00668963441396997,0.3,0.100000000000001,0.0999999999999996,-0.0999999999999996
1959-11-01,30.4,5.8,1.99342149008173,-0.33613477027048,0.0999999999999996,0.329489589685261,0.2,0.3,0.100000000000001,0.0999999999999996
1959-12-01,30.5,5.3,1.98682032167254,-0.00660116840918157,-0.5,-0.33613477027048,0.0999999999999996,0.2,0.3,0.100000000000001
1960-01-01,30.5,5.2,1.98682032167254,0,-0.0999999999999996,-0.00660116840918157,-0.5,0.0999999999999996,0.2,0.3
1960-02-01,30.6,4.8,2.31415285616947,0.327332534496927,-0.4,0,-0.0999999999999996,-0.5,0.0999999999999996,0.2
1960-03-01,30.6,5.4,1.98026272961798,-0.333890126551495,0.6,0.327332534496927,-0.4,-0.0999999999999996,-0.5,0.0999999999999996
1960-04-01,30.6,5.2,1.98026272961798,0,-0.2,-0.333890126551495,0.6,-0.4,-0.0999999999999996,-0.5
1960-05-01,30.6,5.1,1.64748372035053,-0.332779009267448,-0.100000000000001,0,-0.2,0.6,-0.4,-0.0999999999999996
1960-06-01,30.7,5.4,1.64207302123276,-0.00541069911776937,0.300000000000001,-0.332779009267448,-0.100000000000001,-0.2,0.6,-0.4
1960-07-01,30.6,5.5,1.31580845775114,-0.326264563481615,0.0999999999999996,-0.00541069911776937,0.300000000000001,-0.100000000000001,-0.2,0.6
1960-08-01,30.6,5.6,1.31580845775114,0,0.0999999999999996,-0.326264563481615,0.0999999999999996,0.300000000000001,-0.100000000000001,-0.2
1960-09-01,30.6,5.5,0.985229644301189,-0.330578813449955,-0.0999999999999996,0,0.0999999999999996,0.0999999999999996,0.300000000000001,-0.100000000000001
1960-10-01,30.8,6.1,1.30720815673531,0.321978512434118,0.6,-0.330578813449955,-0.0999999999999996,0.0999999999999996,0.0999999999999996,0.300000000000001
1960-11-01,30.8,6.1,1.30720815673531,0,0,0.321978512434118,0.6,-0.0999999999999996,0.0999999999999996,0.0999999999999996
1960-12-01,30.7,6.6,0.653597097978542,-0.653611058756765,0.5,0,0,0.6,-0.0999999999999996,0.0999999999999996
1961-01-01,30.8,6.6,0.978800636616306,0.325203538637764,0,-0.653611058756765,0.5,0,0.6,-0.0999999999999996
1961-02-01,30.8,6.9,0.651468102119379,-0.327332534496927,0.300000000000001,0.325203538637764,0,0.5,0,0.6
1961-03-01,30.9,6.9,0.975617494536429,0.32414939241705,0,-0.327332534496927,0.300000000000001,0,0.5,0
1961-04-01,30.9,7,0.975617494536429,0,0.0999999999999996,0.32414939241705,0,0.300000000000001,0,0.5
1961-05-01,30.9,7.1,0.975617494536429,0,0.0999999999999996,0,0.0999999999999996,0,0.300000000000001,0
1961-06-01,31,6.9,0.972454989199489,-0.00316250533693996,-0.199999999999999,0,0.0999999999999996,0.0999999999999996,0,0.300000000000001
1961-07-01,31,7,1.2987195526811,0.326264563481615,0.0999999999999996,-0.00316250533693996,-0.199999999999999,0.0999999999999996,0.0999999999999996,0
1961-08-01,31.1,6.6,1.62078102268532,0.32206147000422,-0.4,0.326264563481615,0.0999999999999996,-0.199999999999999,0.0999999999999996,0.0999999999999996
1961-09-01,31.1,6.7,1.62078102268532,0,0.100000000000001,0.32206147000422,-0.4,0.0999999999999996,-0.199999999999999,0.0999999999999996
1961-10-01,31.1,6.5,0.969312920565946,-0.651468102119379,-0.2,0,0.100000000000001,-0.4,0.0999999999999996,-0.199999999999999
1961-11-01,31.2,6.1,1.29034048359076,0.321027563024812,-0.4,-0.651468102119379,-0.2,0.100000000000001,-0.4,0.0999999999999996
1961-12-01,31.2,6,1.61554402222852,0.325203538637764,-0.0999999999999996,0.321027563024812,-0.4,-0.2,0.100000000000001,-0.4
1962-01-01,31.2,5.8,1.29034048359076,-0.325203538637764,-0.2,0.325203538637764,-0.0999999999999996,-0.4,-0.2,0.100000000000001
1962-02-01,31.2,5.5,1.29034048359076,0,-0.3,-0.325203538637764,-0.2,-0.0999999999999996,-0.4,-0.2
1962-03-01,31.3,5.6,1.2861913642408,-0.00414911934996098,0.0999999999999996,0,-0.3,-0.2,-0.0999999999999996,-0.4
1962-04-01,31.3,5.6,1.2861913642408,0,0,-0.00414911934996098,0.0999999999999996,-0.3,-0.2,-0.0999999999999996
1962-05-01,31.4,5.5,1.60517090105081,0.318979536810016,-0.0999999999999996,0,0,0.0999999999999996,-0.3,-0.2
1962-06-01,31.4,5.5,1.28206884290614,-0.323102058144675,0,0.318979536810016,-0.0999999999999996,0,0.0999999999999996,-0.3
1962-07-01,31.4,5.4,1.28206884290614,0,-0.0999999999999996,-0.323102058144675,0,-0.0999999999999996,0,0.0999999999999996
1962-08-01,31.5,5.7,1.27797266463987,-0.00409617826626629,0.3,0,-0.0999999999999996,0,-0.0999999999999996,0
1962-09-01,31.5,5.6,1.27797266463987,0,-0.100000000000001,-0.00409617826626629,0.3,-0.0999999999999996,0,-0.0999999999999996
1962-10-01,31.5,5.4,1.27797266463987,0,-0.199999999999999,0,-0.100000000000001,0.3,-0.0999999999999996,0
1962-11-01,31.5,5.7,0.956945101615059,-0.321027563024812,0.3,0,-0.199999999999999,-0.100000000000001,0.3,-0.0999999999999996
1962-12-01,31.6,5.5,1.27390257774298,0.316957476127921,-0.2,-0.321027563024812,0.3,-0.199999999999999,-0.100000000000001,0.3
1963-01-01,31.5,5.7,0.956945101615059,-0.316957476127921,0.2,0.316957476127921,-0.2,0.3,-0.199999999999999,-0.100000000000001
1963-02-01,31.6,5.9,1.27390257774298,0.316957476127921,0.2,-0.316957476127921,0.2,-0.2,0.3,-0.199999999999999
1963-03-01,31.7,5.7,1.26985833371274,-0.0040442440302435,-0.2,0.316957476127921,0.2,0.2,-0.2,0.3
1963-04-01,31.7,5.7,1.26985833371274,0,0,-0.0040442440302435,-0.2,0.2,0.2,-0.2
1963-05-01,31.7,5.9,0.950878796902721,-0.318979536810016,0.2,0,0,-0.2,0.2,0.2
1963-06-01,31.8,5.6,1.26583968719234,0.314960890289617,-0.300000000000001,-0.318979536810016,0.2,0,-0.2,0.2
1963-07-01,31.8,5.6,1.26583968719234,0,0,0.314960890289617,-0.300000000000001,0.2,0,-0.2
1963-08-01,31.9,5.4,1.26184639592117,-0.00399329127116488,-0.199999999999999,0,0,-0.300000000000001,0.2,0
1963-09-01,31.9,5.5,1.26184639592117,0,0.0999999999999996,-0.00399329127116488,-0.199999999999999,0,-0.300000000000001,0.2
1963-10-01,32,5.5,1.57483569681394,0.312989300892763,0,0,0.0999999999999996,-0.199999999999999,0,-0.300000000000001
1963-11-01,32,5.7,1.57483569681394,0,0.2,0.312989300892763,0,0.0999999999999996,-0.199999999999999,0
1963-12-01,32.1,5.5,1.56989095431039,-0.00494474250354315,-0.2,0,0.2,0,0.0999999999999996,-0.199999999999999
1964-01-01,32.2,5.6,2.19789067187754,0.627999717567151,0.0999999999999996,-0.00494474250354315,-0.2,0.2,0,0.0999999999999996
1964-02-01,32.2,5.4,1.88093319574962,-0.316957476127921,-0.199999999999999,0.627999717567151,0.0999999999999996,-0.2,0.2,0
1964-03-01,32.2,5.4,1.56497716671278,-0.315956029036846,0,-0.316957476127921,-0.199999999999999,0.0999999999999996,-0.2,0.2
1964-04-01,32.2,5.3,1.56497716671278,0,-0.100000000000001,-0.315956029036846,0,-0.199999999999999,0.0999999999999996,-0.2
1964-05-01,32.2,5.1,1.56497716671278,0,-0.2,0,-0.100000000000001,0,-0.199999999999999,0.0999999999999996
1964-06-01,32.3,5.2,1.560094044248,-0.00488312246478273,0.100000000000001,0,-0.2,-0.100000000000001,0,-0.199999999999999
1964-07-01,32.3,4.9,1.560094044248,0,-0.3,-0.00488312246478273,0.100000000000001,-0.2,-0.100000000000001,0
1964-08-01,32.3,5,1.24612204378121,-0.313972000466789,0.0999999999999996,0,-0.3,0.100000000000001,-0.2,-0.100000000000001
1964-09-01,32.3,5.1,1.24612204378121,0,0.0999999999999996,-0.313972000466789,0.0999999999999996,-0.3,0.100000000000001,-0.2
1964-10-01,32.4,5.1,1.2422519998557,-0.00387004392550239,0,0,0.0999999999999996,0.0999999999999996,-0.3,0.100000000000001
1964-11-01,32.5,4.8,1.55041865359653,0.308166653740827,-0.3,-0.00387004392550239,0,0.0999999999999996,0.0999999999999996,-0.3
1964-12-01,32.5,5,1.23840591997215,-0.312012733624378,0.2,0.308166653740827,-0.3,0,0.0999999999999996,0.0999999999999996
1965-01-01,32.6,4.9,1.23458358222992,-0.00382233774223195,-0.0999999999999996,-0.312012733624378,0.2,-0.3,0,0.0999999999999996
1965-02-01,32.6,5.1,1.23458358222992,0,0.199999999999999,-0.00382233774223195,-0.0999999999999996,0.2,-0.3,0
1965-03-01,32.6,4.7,1.23458358222992,0,-0.399999999999999,0,0.199999999999999,-0.0999999999999996,0.2,-0.3
1965-04-01,32.7,4.8,1.54086253528454,0.306278953054617,0.0999999999999996,0,-0.399999999999999,0.199999999999999,-0.0999999999999996,0.2
