rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
524	400	0.00012657399	0.035844158	0.0027500601	0.04068	0.0024823172	1	1	1	1	1	1	1	1	1.2687139	0.46972	0.20874986	0.080982275	0.58289804	1.0077456
525	400	0.00022658168	0.04050332	0.0070322888	0.043709756	0.0070315896	1	1	1	1	1	1	1	1	1.2332844	0.48839752	0.19491558	0.093292933	0.48370697	0.93341406
526	400	0.00012657399	0.0078353979	0.0045894771	0.015919969	0.00742831	1	1	1	1	1	1	1	1	1.2279521	0.47399832	0.18074098	0.065789672	0.49492655	1.05014
527	400	0.00012657399	0.089296168	0.0087532419	0.085537883	0.010414452	1	1	1	1	1	1	1	1	1.2093008	0.49831809	0.17156707	0.079593875	0.66149849	1.1263449
528	400	9.4602866e-05	0.044400504	0.010703445	0.040157887	0.010547367	1	1	1	1	1	1	1	0	1.2442167	0.49129173	0.18332304	0.081387999	0.44612829	0.9681178
529	400	0.00022658168	0.038853545	0.013819441	0.033991495	0.025948622	1	1	1	0	1	1	1	1	1.2401168	0.51632651	0.1765105	0.082170134	0.55835111	1.1675094
530	400	0.00016934978	0.025885069	0.019175128	0.034462917	0.024826837	1	1	1	1	1	1	1	1	1.1268524	0.49759959	0.15383598	0.075746136	0.46358063	1.0222724
531	400	0.00022658168	0.01633047	0.0027277668	0.036674394	0.0027176083	1	1	1	1	1	1	1	1	1.1624154	0.49240744	0.19959433	0.12717177	0.49233487	0.96749731
532	400	2.9521854e-05	0.080379768	0.0076195343	0.078394351	0.011899496	1	1	1	1	1	1	1	0	1.6482787	0.53663163	0.31434554	0.11856631	0.50930234	0.89729716
533	400	0.00030315515	0.06542064	0.0059669461	0.066112308	0.019142905	1	1	1	1	1	1	1	1	0.94464892	0.44655778	0.1612472	0.082159082	0.64489168	1.0571746
534	400	0.00072608164	0.047860268	0.0069379281	0.041519355	0.0081436231	1	1	1	1	1	1	1	1	0.95481029	0.38437362	0.16964228	0.058797458	0.49278036	0.99073602
535	400	0.00054268184	0.04097018	0.013789399	0.096417251	0.011499633	1	0	0	1	1	1	1	1	1.2501967	0.3882721	0.21175923	0.068057416	0.15019892	0.93080489
536	400	0.00012657399	0.079718682	0.0059080361	0.076111626	0.0075466944	1	1	1	1	1	1	1	1	1.2037232	0.48441342	0.20359045	0.10362911	0.22902672	1.0035502
537	400	0.0017390255	0.03478546	0.016697409	0.020672058	0.018187898	1	1	1	0	1	0	1	0	0.89620526	0.332609	0.13086475	0.05110228	0.54861638	0.83776507
538	400	7.070728e-05	0.0032133318	0.0027550614	0.011035446	0.004407993	1	1	1	1	1	1	1	1	1.2301659	0.46157366	0.21622616	0.094422728	0.51548791	1.0340009
