rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	200	0.00016934978	0.029042126	0.011878192	0.063819041	0.015824281	1	0	1	1	1	1	1	1	1.4957984	0.58285672	0.22174528	0.12418905	0.40327339	0.91864248
2	200	0.0023267307	0.082130877	0.016189797	0.056687813	0.015984394	1	0	1	1	1	1	1	0	0.96507949	0.43825175	0.15890984	0.058766335	0.81068014	0.9209678
3	200	0.00022658168	0.082965872	0.0048623477	0.0741203	0.004802733	1	1	1	1	1	1	1	1	1.1735522	0.46730542	0.18284249	0.076062763	0.38793992	0.99663917
4	200	0.00030315515	0.11035553	0.0043722345	0.11962313	0.0058545887	1	1	1	1	0	1	1	1	1.4660828	0.57633963	0.19988457	0.07987971	0.67017791	1.0723192
5	200	0.00072608164	0.17503361	0.0048907576	0.24084114	0.0067829656	1	1	1	1	1	1	1	1	1.2491872	0.43327292	0.17095346	0.071577976	0.31297195	1.1056628
6	200	0.00022658168	0.059291433	0.012791398	0.086509017	0.014511398	1	1	1	1	1	1	1	1	1.2922948	0.53351386	0.23126795	0.1039189	0.18975029	1.181399
7	200	0.0012997678	0.057670613	0.014804691	0.035609362	0.013481219	1	1	1	1	1	0	1	0	1.0325964	0.4145114	0.16064024	0.059636808	0.75795902	0.9784645
8	200	0.00072608164	0.028838422	0.016559222	0.018196735	0.019419384	1	1	1	1	1	0	1	0	1.0009154	0.43252497	0.18139843	0.078253308	0.61331157	0.89336766
9	200	0.00054268184	0.04458627	0.0052499325	0.080942354	0.0047610222	1	1	1	1	1	1	1	1	1.3445624	0.46204318	0.21353284	0.079867068	0.22384764	0.94439412
10	200	0.0004056067	0.026350505	0.008208824	0.055770535	0.0068453659	1	1	1	1	1	1	1	1	1.3595403	0.40478268	0.22831258	0.078866361	0.36997141	1.0443276
11	200	3.9498791e-05	0.10099396	0.011462866	0.1224731	0.013462359	1	1	1	1	0	1	1	0	1.6288415	0.59578915	0.29904405	0.13427186	0.37809559	1.005854
12	200	0.00016934978	0.17749976	0.0090500213	0.20009328	0.0084267122	1	1	1	1	1	1	1	1	1.3421733	0.54474363	0.22222928	0.10584615	0.61303107	0.8580087
13	200	0.0004056067	0.097521945	0.012617889	0.082907838	0.010971328	1	1	1	1	1	1	1	1	1.1590316	0.52632764	0.21402567	0.11578553	0.60579945	0.92467539
14	200	0.00097146156	0.017404348	0.010622132	0.036102283	0.0096800596	1	1	1	0	1	1	1	1	1.1311299	0.38412296	0.19461902	0.08271723	0.23832502	0.8289585
15	200	0.0023267307	0.1287677	0.018908609	0.11918175	0.017295701	1	1	0	0	1	0	1	0	1.1703594	0.38643528	0.14516806	0.069474078	0.89501266	0.83253726
16	200	0.0017390255	0.10502556	0.015764502	0.041097076	0.018788806	1	0	1	1	1	1	1	1	1.0557292	0.50831815	0.1657426	0.085321534	0.57073326	0.93842853
17	200	0.0004056067	0.044199623	0.0077213163	0.090122331	0.0099201582	1	1	1	1	1	1	1	1	1.3905206	0.51967831	0.22173359	0.07145039	0.22136188	1.0085108
18	200	0.00012657399	0.16181553	0.0090015622	0.17084007	0.014892793	1	1	0	1	1	1	1	1	1.4227274	0.64822491	0.20676367	0.10779443	0.13788321	1.1201282
19	200	0.00022658168	0.050031988	0.0056091755	0.048698096	0.0045432263	1	1	1	1	1	1	1	1	1.2119356	0.49532593	0.21259423	0.10195735	0.51550816	0.93379354
20	200	0.0004056067	0.13059142	0.023046449	0.18198969	0.028277293	1	0	1	1	1	1	1	0	1.3266883	0.48708084	0.2247176	0.099511865	0.26391026	0.93133679
21	200	0.00072608164	0.33397213	0.014999288	0.34352283	0.010242745	0	1	1	1	1	1	1	1	1.4332753	0.63924191	0.20839429	0.12388228	0.41245692	0.83105965
22	200	0.00097146156	0.02818425	0.014563123	0.047210259	0.020996863	1	1	1	1	1	1	1	1	1.159302	0.60185597	0.22026758	0.087327772	0.23188253	0.95536068
23	200	0.00054268184	0.032524277	0.0068908769	0.033210641	0.0079512723	1	1	1	1	1	1	1	1	1.245685	0.4310416	0.23002002	0.07889917	0.41198296	1.0880851
24	200	0.00016934978	0.024178009	0.0067437288	0.028861544	0.0084706622	1	1	1	1	1	1	1	1	1.2387506	0.56228413	0.22679618	0.11093582	0.40262402	1.0456483
25	200	0.0004056067	0.039769952	0.0079629286	0.092579476	0.0070758208	1	1	1	1	1	1	1	1	1.3049892	0.66571017	0.21917854	0.11135665	0.34206153	0.95717048
26	200	0.00012657399	0.094283131	0.011616031	0.09616562	0.02086464	1	1	1	1	1	1	1	0	1.4933742	0.5185934	0.21258147	0.099493881	0.56225356	1.1045576
27	200	0.00072608164	0.051335193	0.015937902	0.058834399	0.016625556	1	0	1	1	1	0	1	0	1.1575659	0.44945808	0.22745916	0.085372752	0.59743829	0.90854385
28	200	0.0012997678	0.091369998	0.012377546	0.094908487	0.014623219	1	0	1	1	0	1	0	0	1.1669795	0.4130447	0.2042318	0.066198091	0.59746236	0.9302269
29	200	0.00030315515	0.025194814	0.0048903307	0.024838479	0.0048598431	1	1	1	1	1	1	1	1	1.3349204	0.48621908	0.26646982	0.10681319	0.5969491	0.94382994
30	200	0.0004056067	0.0099959241	0.007256832	0.0048461116	0.011403059	1	1	1	1	1	1	1	1	1.1238688	0.49404609	0.19398411	0.073824066	0.56192644	0.95741413
31	200	0.0017390255	0.056656065	0.017910325	0.034328606	0.02598245	1	0	1	1	0	1	1	0	1.0180023	0.39065892	0.20179704	0.062764998	0.60052778	1.0581446
32	200	0.00022658168	0.015079638	0.010347677	0.017015774	0.0094404009	1	1	1	1	1	1	1	1	1.2264869	0.5682139	0.22351128	0.10436068	0.4885914	0.91609693
33	200	0.00097146156	0.035109022	0.021444706	0.034732998	0.025386947	1	0	1	1	1	0	1	0	0.96036513	0.37405693	0.14904079	0.044230128	0.42805682	0.99836676
34	200	5.2847441e-05	0.047789878	0.0045798727	0.053743454	0.0049112148	1	1	1	1	1	1	1	1	1.4478588	0.64503356	0.22433205	0.12544533	0.52706825	0.95291853
35	200	0.00022658168	0.089650568	0.0061580653	0.07563309	0.0051647367	1	1	1	1	1	1	1	1	1.1915372	0.53975574	0.19817335	0.088806857	0.75274315	1.0458969
36	200	0.0012997678	0.091642987	0.0085666175	0.06912424	0.0097901534	1	1	1	1	1	1	1	1	1.1484308	0.49509185	0.19644575	0.10058466	0.66661064	0.99756385
37	200	0.00016934978	0.045046111	0.0058966804	0.044584568	0.0080669228	1	1	1	1	1	1	1	1	1.5013968	0.49939398	0.21602134	0.097724031	0.71389485	1.007031
38	200	0.00054268184	0.056414989	0.013682534	0.063001244	0.013090901	1	1	1	1	0	1	1	1	1.2066015	0.57165647	0.23091946	0.09614551	0.62887271	0.81222109
39	200	9.4602866e-05	0.018157279	0.0079025498	0.010954303	0.0080494314	1	1	1	1	1	1	1	1	1.5039517	0.6659459	0.23730195	0.12092271	0.55933784	0.78407843
40	200	9.4602866e-05	0.13994803	0.034708942	0.16979641	0.037117022	1	1	1	1	1	1	1	1	1.4449258	0.56700838	0.22831207	0.10133418	0.62251976	1.0925364
41	200	0.00030315515	0.046447916	0.0026700851	0.060972727	0.0044614502	1	1	0	1	1	1	1	1	1.0927373	0.41863443	0.18188653	0.066391077	0.20077312	1.0710318
42	200	0.00022658168	0.090059154	0.0067196285	0.077824766	0.0091339961	1	1	1	1	1	1	1	1	1.2252444	0.55031961	0.22015442	0.090695799	0.42064907	0.99421594
43	200	0.00016934978	0.015619072	0.003043404	0.044368105	0.0079329297	1	1	1	1	1	1	1	1	1.4212295	0.48408134	0.23168847	0.065268226	0.38869563	0.97909226
44	200	0.00016934978	0.056117259	0.03590478	0.067498826	0.041478538	1	1	1	0	1	1	1	0	1.354399	0.55628961	0.21812618	0.10530327	0.22993386	0.61308527
45	200	0.0004056067	0.14395091	0.013089305	0.12731936	0.011294602	1	1	1	1	1	1	1	1	1.3565727	0.55274013	0.23788226	0.087343155	0.41938704	0.83666167
46	200	0.00054268184	0.031746035	0.0077729141	0.096281829	0.0092437732	1	1	1	1	1	1	1	1	1.1726766	0.53338214	0.19030953	0.078020452	0.32601629	0.96609322
47	200	0.00022658168	0.051018725	0.016266976	0.050428998	0.017083374	1	1	1	1	1	1	1	1	1.2821836	0.55454539	0.22367243	0.11729275	0.67018022	0.79983837
48	200	0.00022658168	0.035158246	0.0041045625	0.061345929	0.0066411516	1	1	1	1	0	1	1	1	1.1971593	0.57388085	0.20517863	0.099870971	0.37286554	1.0291582
49	200	0.00054268184	0.019307997	0.011083703	0.019174924	0.0096580148	1	1	1	1	1	1	1	0	1.0952363	0.42833493	0.20583657	0.084906493	0.44926636	0.98179162
50	200	0.00016934978	0.115998	0.020558573	0.1324884	0.024378438	1	0	0	1	1	1	1	0	1.2003358	0.50510099	0.21939681	0.095205423	1.0940587	1.1248824
51	200	0.00030315515	0.036430962	0.0049489862	0.068593733	0.0041499778	1	1	1	1	1	1	1	1	1.1940963	0.54716572	0.25496373	0.13137789	0.43043111	1.0249909
52	200	9.4602866e-05	0.1652488	0.017488794	0.16639057	0.024315536	1	1	1	1	1	1	1	1	1.4981335	0.53644441	0.23516442	0.10565746	0.75002733	0.89511144
53	200	9.4602866e-05	0.21458432	0.0055350808	0.26828267	0.0070678858	0	1	1	1	1	1	0	1	1.4315498	0.59552556	0.27378855	0.1273243	0.83269809	1.0672837
54	200	0.0004056067	0.064880042	0.010598463	0.095678222	0.013366195	1	1	1	1	1	1	1	1	1.2854557	0.48265296	0.23751601	0.093517651	0.28437287	0.99568274
55	200	0.00030315515	0.084860584	0.0048557186	0.089202961	0.011107702	1	1	1	1	1	1	1	1	1.3911582	0.50317759	0.2394026	0.084653118	0.78452848	0.96232166
56	200	0.00016934978	0.18342885	0.0091667206	0.1833736	0.01025917	0	1	1	1	1	1	0	1	1.2270121	0.46370943	0.20521598	0.10072826	0.37280597	0.90393111
