rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	400	1.6059868e-06	0.013053868	0.0060017324	0.014704039	0.0058365783	1	1	1	1	1	1	1	0	1.0551922	0.30615812	0.22943121	0.052106971	0.60788226	1.0901261
2	400	1.522998e-08	0.076506652	0.0050449599	0.077491295	0.0055828351	1	1	1	1	0	1	1	0	1.3604498	0.38930175	0.22755466	0.052277368	0.20895206	1.0931454
3	400	3.7457703e-07	0.032433609	0.0071715167	0.036677594	0.0067977258	1	0	1	1	1	1	0	1	1.1076143	0.37270789	0.17841768	0.045378713	0.50877907	1.0255554
4	400	2.0924776e-07	0.024304149	0.0031523159	0.030038961	0.0039609642	1	1	1	1	1	0	1	1	1.1047484	0.36167529	0.26713306	0.051260617	0.63822064	1.0370921
5	400	3.8464711e-06	0.0021019666	0.0029927043	0.0034429935	0.0026109339	1	1	1	1	1	1	1	1	1.4210506	0.34875535	0.33792568	0.049163503	0.5523272	0.99745287
6	400	2.8748971e-06	0.0044246798	0.0016119275	0.0055253218	0.0019166954	1	1	1	1	1	1	1	1	1.1370626	0.36432648	0.17566123	0.047548671	0.61597501	1.0385318
7	400	2.0924776e-07	0.034502871	0.004186169	0.040925798	0.0045402447	1	1	1	1	1	0	1	1	1.1382156	0.36055587	0.21857523	0.076123156	0.59504099	0.95758594
8	400	2.7263377e-08	0.040822119	0.0043198225	0.045987975	0.0054586259	0	0	1	1	1	1	1	1	1.2051898	0.40505194	0.18865959	0.068898129	0.71553242	1.0501919
9	400	2.7996322e-07	0.028253183	0.0076684059	0.031261069	0.0071573405	1	1	1	1	1	1	1	1	1.0676399	0.38372826	0.211851	0.054961204	0.89547451	0.95771196
10	400	9.212616e-06	0.011501607	0.003983804	0.012272335	0.0042187716	1	1	1	1	1	1	1	1	1.0840974	0.39096799	0.16789704	0.054451546	0.45154124	1.0875294
11	400	6.5298041e-08	0.020545543	0.0027359703	0.034195572	0.0032407033	1	1	1	1	1	1	1	1	1.1571009	0.36486447	0.18111442	0.044940546	0.41043159	1.0046626
12	400	3.647706e-08	0.019622008	0.0062108765	0.023018467	0.0064461075	1	1	1	1	1	1	1	1	1.3170175	0.37376822	0.22139959	0.047241032	0.35752188	1.082246
13	400	2.7996322e-07	0.0365694	0.0044589541	0.043232567	0.0041066045	1	1	1	1	1	1	1	1	1.0754226	0.35808912	0.23265904	0.046190995	0.25060144	1.0275782
14	400	1.6059868e-06	0.0033635967	0.0029156842	0.0042314576	0.0030241929	1	1	1	1	1	0	1	1	0.91451254	0.44757954	0.21843664	0.10560293	0.67984107	1.070153
15	400	1.2003332e-06	0.086907331	0.0025957088	0.071973118	0.0025015478	1	1	0	1	1	1	1	1	1.1281717	0.3266727	0.15070331	0.055066891	0.93234919	1.07545
16	400	2.0924776e-07	0.032979266	0.00485575	0.034116267	0.0045357136	1	1	1	1	1	0	1	0	1.0799249	0.32724616	0.18679748	0.046530303	0.67695046	1.0357418
17	400	5.0116567e-07	0.058915502	0.0054384933	0.068740678	0.005028653	1	1	1	0	1	1	1	0	1.0918377	0.31080715	0.17022805	0.034071812	0.47037842	1.0699649
18	400	8.9714294e-07	0.0144007	0.0016255993	0.017869548	0.0017145021	1	1	1	1	1	1	1	1	1.1593787	0.33064197	0.13302088	0.032823418	0.48268657	1.0156001
19	400	6.8856161e-06	0.011276842	0.001971561	0.008522742	0.0021872387	1	1	1	1	1	1	1	1	0.85587797	0.36410383	0.13466242	0.052258522	0.57406669	0.99139744
20	400	5.1463893e-06	0.0040476777	0.0037290758	0.003247706	0.0038719586	1	1	1	1	1	1	1	1	0.91826657	0.33353178	0.12383794	0.04728528	0.53661004	1.0174393
21	400	2.7996322e-07	0.032273911	0.0019553701	0.030125292	0.0023795599	1	1	1	1	1	1	1	1	1.0801018	0.35909748	0.13582978	0.040761222	0.60038343	1.0616977
22	400	1.2003332e-06	0.020278984	0.0052196717	0.022489112	0.0045703342	1	1	1	1	1	1	1	1	1.1577296	0.36907815	0.21985073	0.061529697	0.61514198	1.0187107
23	400	6.7053504e-07	0.067504831	0.0036304806	0.064214046	0.0049246224	1	0	0	1	1	1	1	0	1.2994541	0.3335115	0.20031412	0.062096574	0.98698174	1.0504485
24	400	5.0116567e-07	0.036680796	0.0026539073	0.044578156	0.0027802868	1	1	1	1	1	1	1	1	1.2687406	0.30736388	0.17464536	0.058791827	0.77638508	1.0331677
25	400	8.9714294e-07	0.019233324	0.0054464324	0.019676261	0.0055142153	1	1	1	1	1	1	1	0	1.0670317	0.34421843	0.26999012	0.032876798	0.3776019	1.040622
26	400	4.8804514e-08	0.041794719	0.0037083279	0.040146368	0.0044117065	1	0	1	1	1	1	1	0	1.0852736	0.3406374	0.17970521	0.052679338	0.74122887	1.0461601
27	400	1.2003332e-06	0.053127351	0.0048371821	0.047082151	0.004933188	1	1	1	1	1	1	1	1	1.0430158	0.35459314	0.22119165	0.050229401	0.66267157	1.0837554
28	400	5.0116567e-07	0.096828634	0.0032223022	0.089114345	0.0031707213	0	1	1	1	1	1	1	1	1.259948	0.37200017	0.19915242	0.04660206	0.48574331	0.9973552
29	400	2.1487315e-06	0.015145053	0.0031399951	0.014442112	0.0030621929	1	1	1	1	1	1	1	1	0.99437153	0.40594893	0.18590482	0.057862713	0.78195957	0.98147576
30	400	2.1487315e-06	0.031635932	0.002366937	0.034178273	0.0022574601	1	1	1	1	0	1	1	1	1.2752979	0.34917157	0.22402158	0.073004312	0.66172906	1.053341
31	400	8.9714294e-07	0.028053467	0.0029370271	0.032109488	0.0031437207	1	1	1	1	1	0	1	0	1.0622252	0.34570963	0.14480637	0.060353234	0.58860902	1.0509111
32	400	1.522998e-08	0.10919766	0.0054356494	0.11588665	0.0055289774	1	1	1	1	1	1	1	0	1.3301316	0.40803241	0.16335584	0.049955178	0.71104276	0.91925105
33	400	6.8856161e-06	0.044195017	0.0033828957	0.036637037	0.0040904484	1	1	1	1	1	1	1	1	0.95713667	0.38289772	0.11259485	0.08407846	0.56386977	1.0315269
34	400	8.9714294e-07	0.020842185	0.0056425477	0.019246035	0.0052181315	1	1	1	1	1	1	1	1	1.2657543	0.37508226	0.1763935	0.043718015	0.64286237	1.0408508
35	400	5.0116567e-07	0.037734164	0.0055840728	0.03404661	0.0053795916	1	1	1	0	1	1	1	0	1.0597242	0.35954701	0.12525058	0.039496244	0.60269004	1.0878459
36	400	3.647706e-08	0.043209438	0.0056146291	0.052472479	0.0056663703	1	1	0	1	1	1	1	0	1.2255235	0.36032887	0.22285733	0.032790651	0.10860178	1.0325482
37	400	1.563942e-07	0.053455324	0.0021346304	0.056835252	0.0023384328	1	1	1	1	1	1	1	0	1.0259212	0.31432328	0.19119769	0.04984305	0.22114688	1.0868833
38	400	8.9714294e-07	0.0092651744	0.0040816436	0.011139576	0.003830883	1	1	1	1	1	1	1	1	1.0282514	0.30722744	0.17624281	0.060492804	0.4406112	1.0707075
39	400	2.1487315e-06	0.042590517	0.0052626554	0.040435845	0.0056501642	1	0	1	1	1	1	1	1	1.0166868	0.39751349	0.17858988	0.083036415	0.60855524	1.149195
40	400	5.0116567e-07	0.010976119	0.0023805519	0.01192308	0.0025344471	1	1	1	1	1	1	1	1	0.99475098	0.35828919	0.20718869	0.05073936	0.55981867	1.0304441
41	400	8.9714294e-07	0.015295872	0.0066265464	0.021635871	0.0068303417	1	1	1	1	1	1	1	0	1.1169741	0.34464525	0.27479036	0.039228926	0.31229783	1.0057917
42	400	1.6491619e-05	0.07872241	0.0075035797	0.062003205	0.0080452607	1	1	1	1	1	1	1	1	1.3852658	0.40855516	0.29103989	0.080995669	0.44329396	1.1081367
43	400	1.522998e-08	0.085044553	0.0065825794	0.099025459	0.0081999124	1	0	0	1	0	1	0	0	1.2289847	0.39824542	0.13963684	0.045523762	0.92223176	1.0830726
44	400	3.647706e-08	0.046240579	0.0053582575	0.044317326	0.0054190513	1	1	1	1	1	1	1	0	1.2713679	0.39216853	0.1978485	0.059522074	0.5153454	1.0398945
45	400	3.9498791e-05	0.038219622	0.0020098191	0.043607219	0.0014119809	1	1	1	1	1	1	1	1	1.1858763	0.36988317	0.20652286	0.051589685	0.33925712	1.0224863
46	400	5.1463893e-06	0.014351471	0.0035004556	0.011866865	0.0031828767	1	1	1	1	1	1	1	1	0.90309706	0.42453379	0.18408408	0.048297746	0.64736052	1.0100413
47	400	1.1689084e-07	0.028199301	0.0042494529	0.028741476	0.0045648981	1	1	1	1	1	1	1	1	1.1489124	0.3827737	0.19298814	0.065199467	0.48960371	1.0553202
48	400	9.212616e-06	0.029278839	0.0024576638	0.024638717	0.0029860137	1	1	1	1	1	1	1	1	0.95120554	0.35125122	0.11734899	0.0328988	0.48431732	1.0457001
49	400	2.7996322e-07	0.0084602387	0.0022940152	0.009998844	0.0026681405	1	1	1	1	1	1	1	1	1.0739078	0.33159396	0.14493982	0.058349028	0.53405707	0.99437693
50	400	5.0116567e-07	0.014083074	0.0062151462	0.014171451	0.0064987103	1	0	1	1	1	1	1	0	0.99249737	0.32954493	0.16237524	0.054268148	0.69981364	1.0679803
51	400	2.0924776e-07	0.0559166	0.0035342653	0.05684629	0.0035050119	1	1	1	1	1	1	1	1	1.2447793	0.35600625	0.18878554	0.042176256	0.66710167	1.0447924
52	400	2.7263377e-08	0.044905736	0.0040230857	0.048394808	0.0049363242	1	1	1	1	1	0	1	0	1.2396232	0.36974488	0.21475085	0.039770366	0.58211799	0.97479937
53	400	1.522998e-08	0.07220829	0.010448368	0.077977122	0.010126043	1	1	0	1	1	1	0	0	1.2723943	0.38656322	0.17630897	0.063405198	0.14715656	1.0015431
54	400	1.6059868e-06	0.041962265	0.0045740722	0.036625609	0.0047123594	1	1	1	1	1	1	1	1	1.0477008	0.37820949	0.10086393	0.054869852	0.55604452	1.0911741
55	400	1.563942e-07	0.026925747	0.0044789512	0.030777523	0.0054816313	1	0	1	0	1	1	1	1	1.1378816	0.34355201	0.2680844	0.046518701	0.72220853	1.1296331
56	400	1.522998e-08	0.069693108	0.0058846118	0.06589381	0.0067288075	1	0	1	1	1	1	1	0	1.21725	0.37323678	0.21629709	0.036467619	0.5177381	1.0631516
57	400	2.1487315e-06	0.023271038	0.00084715229	0.019446608	0.0012331483	1	1	1	1	1	1	1	1	1.0171285	0.29800124	0.16596448	0.0307864	0.46588353	1.0372296
58	400	2.7996322e-07	0.038348997	0.0030550458	0.040457379	0.0030604273	1	1	1	1	1	1	0	1	1.0878373	0.3238862	0.2151171	0.034191472	0.44354033	1.0251636
59	400	6.5298041e-08	0.029449646	0.0047575989	0.039567254	0.005064096	1	1	1	1	1	0	1	0	1.2655364	0.38127822	0.29927139	0.053597806	0.72190711	1.0948882
60	400	1.563942e-07	0.049857422	0.0024176288	0.053987382	0.0023116958	1	1	1	1	0	1	1	1	1.1445274	0.36446845	0.12081271	0.04276856	0.53206333	0.91810083
61	400	2.1487315e-06	0.02018111	0.0019397974	0.018688755	0.0021430736	1	1	1	1	1	1	1	1	1.1728785	0.31330157	0.2331275	0.046090402	0.46918713	1.0457633
62	400	2.7996322e-07	0.048745592	0.0019396296	0.047109692	0.0022125394	1	1	1	1	1	1	0	1	1.0849533	0.34746825	0.14706694	0.04065614	0.50065891	1.0539244
63	400	2.2064976e-05	0.085752975	0.0018058108	0.084223757	0.0020784062	1	1	1	1	1	1	1	1	1.5993784	0.3929084	0.23433344	0.05372282	0.53047456	1.0424829
64	400	5.1463893e-06	0.0065082555	0.0026542181	0.0086107449	0.0024967289	1	1	1	1	1	1	1	1	1.0641204	0.32281704	0.27245798	0.049573222	0.43622974	1.0142745
