rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	200	0.0076471846	0.024095409	0.013014911	0.034764433	0.019991477	1	1	1	1	1	1	1	1	1.4907069	0.86575633	0.23489037	0.18391312	0.68638563	0.89226506
2	200	0.01117953	0.087363042	0.01434314	0.062697005	0.019855866	1	1	1	1	1	1	1	1	1.2378395	0.78437696	0.24751975	0.15094273	0.53719096	1.0994641
3	200	0.0092461845	0.072386057	0.0094645037	0.092775208	0.016805252	0	1	1	1	1	1	1	0	1.2072124	0.65611568	0.1503914	0.11185043	0.38020339	0.98983252
4	200	0.023892822	0.075018382	0.004253468	0.075609673	0.0098339233	1	1	1	1	0	1	1	1	1.2703895	0.72524789	0.18897259	0.11216116	0.60047511	1.0049069
5	200	0.019760888	0.21937291	0.0051841983	0.2119076	0.011349803	1	1	1	1	1	1	0	1	1.1647128	0.66925355	0.15101962	0.1056881	0.37276813	1.1062502
6	200	0.01117953	0.081888632	0.014205541	0.072686289	0.018431683	1	1	1	1	1	1	1	1	1.212124	0.69641793	0.1975184	0.12557643	0.37712395	1.1213645
7	200	0.013517131	0.087995795	0.0086906702	0.066224412	0.012416146	1	1	1	1	1	1	1	1	1.1452802	0.7051745	0.17420935	0.12681534	0.79895288	1.1351459
8	200	0.019760888	0.067633126	0.018208701	0.048816692	0.021418026	1	1	1	1	0	1	1	1	1.0797268	0.63519201	0.19461008	0.12747038	0.56883662	0.80321228
9	200	0.016343516	0.056498692	0.0091410467	0.034126858	0.0090387764	1	1	1	1	1	1	1	1	1.2612414	0.71363918	0.19859985	0.14554116	0.43947389	0.86290819
10	200	0.01117953	0.066055812	0.0047217057	0.046770263	0.010304066	1	1	1	1	1	1	1	1	1.286436	0.64742603	0.21155703	0.11842268	0.43066621	1.1910345
