rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	800	0.00053585574	0.03227697	0.003122157	0.028658143	0.0030916999	1	0	0	1	0	1	0	1	0.62401215	0.28911673	0.0781239	0.031369904	0.38843951	1.0422589
2	800	0.00014184729	0.0064358234	0.0030066608	0.014122195	0.003674175	1	1	1	0	1	1	1	0	0.70580198	0.32696476	0.11177	0.02466748	0.50386501	1.0805163
3	800	0.00036654385	0.008932755	0.0020547827	0.0051642324	0.0021915939	1	1	1	1	1	1	1	1	0.58221863	0.27323802	0.088420229	0.036831241	0.55600132	0.97050512
4	800	0.00014184729	0.0089010346	0.0027516256	0.014936587	0.0040812714	1	1	1	1	1	1	0	0	0.68495208	0.32981634	0.1030491	0.044576957	0.55737167	1.032927
5	800	0.00030315515	0.023013386	0.003255118	0.015997085	0.0034244183	1	1	1	0	1	1	1	0	0.67009295	0.29851017	0.092233344	0.051134075	0.54882554	1.1006709
6	800	0.00025072866	0.033174296	0.0023154109	0.033324043	0.0027050617	1	1	1	1	1	1	0	0	0.64928425	0.30182872	0.11953037	0.064127594	0.39732006	1.0246794
7	800	8.024872e-05	0.024591241	0.0064517493	0.031593532	0.0066080231	1	1	1	1	1	1	0	0	0.76014606	0.32443582	0.10966556	0.044345387	0.67293418	0.94815476
8	800	0.0004431869	0.029783123	0.0020168878	0.020238848	0.0026686421	1	1	1	1	0	1	1	0	0.5746752	0.27995506	0.081980675	0.038073351	0.63867086	1.0442717
9	800	0.00036654385	0.020585712	0.0037535061	0.023163117	0.0038812078	0	0	1	0	0	1	1	0	0.59001385	0.28086038	0.10427067	0.03923261	0.37597269	1.0893435
10	800	0.00017150707	0.019088764	0.0029567871	0.018733561	0.0039261841	1	1	1	0	1	1	0	0	0.67297553	0.30608619	0.093102644	0.057933128	0.6021191	1.1343585
11	800	0.0002073686	0.012670401	0.0029602793	0.010464765	0.0030718233	1	1	1	1	1	1	1	0	0.65423613	0.32353834	0.11502071	0.051556307	0.58493916	0.98291234
12	800	0.00030315515	0.023490601	0.0034321899	0.018184529	0.003540162	1	0	1	1	1	1	1	0	0.62325466	0.30716281	0.10910483	0.03925326	0.58861167	1.0284912
13	800	0.00025072866	0.013849936	0.0042524607	0.010219954	0.004501125	1	0	1	1	1	0	0	0	0.64344761	0.29133903	0.09734564	0.051048	0.54976132	1.0326287
14	800	0.00036654385	0.016773953	0.0018231172	0.0096415407	0.0023226856	1	1	1	1	1	1	1	0	0.64915918	0.32400543	0.085683398	0.070423437	0.54146123	0.93209991
15	800	0.0002073686	0.019917029	0.0021313662	0.013641937	0.0027025576	1	1	1	1	1	1	1	1	0.68963797	0.33063958	0.093422472	0.034800478	0.62212517	1.0417461
16	800	0.00030315515	0.0060104186	0.0033957255	0.0084582352	0.0036394104	1	1	1	0	1	0	1	0	0.60205107	0.29649785	0.099202279	0.042354224	0.45714016	1.0898668
17	800	0.00036654385	0.026692923	0.0027695557	0.015395403	0.0031213633	1	1	1	1	1	1	1	0	0.53259229	0.26982187	0.10443718	0.048342902	0.45605567	1.0750177
18	800	0.00030315515	0.02122039	0.0011645835	0.012613238	0.001646215	1	1	1	1	1	1	1	1	0.60227351	0.29642865	0.08677592	0.032084022	0.67840505	1.0180797
19	800	0.00025072866	0.019946166	0.0032175006	0.023032226	0.0029003433	1	0	1	1	1	1	1	1	0.62680179	0.29961883	0.10191412	0.033006291	0.52689887	1.0560467
20	800	0.0002073686	0.012486583	0.0027536918	0.014645317	0.0036781688	1	0	1	1	1	1	1	0	0.66600411	0.31094703	0.1261656	0.062980134	0.39931886	0.99137174
21	800	0.00053585574	0.037361395	0.0020425858	0.023485424	0.0025205121	1	1	1	1	0	1	1	1	0.58857046	0.30389979	0.088705819	0.029362718	0.73462153	1.0303942
22	800	0.00025072866	0.011468776	0.0030267521	0.011098247	0.0033257781	1	1	1	1	1	1	1	1	0.67188002	0.31440526	0.10323977	0.048700003	0.64027979	0.95433437
23	800	0.00025072866	0.017429945	0.0027975999	0.017094897	0.0033964166	1	1	1	1	1	0	0	0	0.63421025	0.31025889	0.10442709	0.039309298	0.54515607	1.0556754
24	800	0.00014184729	0.027954205	0.0042562861	0.016850096	0.0049679501	1	1	1	0	1	1	1	0	0.73555116	0.33820799	0.09633182	0.043974228	0.47788298	1.1139336
25	800	0.00025072866	0.017297739	0.0027810961	0.013801633	0.0033942483	1	0	1	1	1	0	1	1	0.64232887	0.30990695	0.10530936	0.067581794	0.68125952	0.91268048
26	800	0.00030315515	0.028613443	0.00204602	0.021020456	0.0023510084	1	1	0	1	1	1	1	0	0.6708267	0.30235198	0.10682205	0.047606447	0.79450727	1.0193584
27	800	0.00011731676	0.017394559	0.0031824742	0.017931679	0.0039064524	1	1	0	1	1	1	1	0	0.78564219	0.35122113	0.11589235	0.049751938	0.31106049	1.0566904
28	800	0.00025072866	0.017191395	0.0033596169	0.010165526	0.0036260907	1	1	1	1	1	1	1	0	0.66702102	0.30202879	0.10747439	0.046217094	0.50611504	0.99475786
29	800	0.00011731676	0.009735832	0.004782642	0.010301126	0.0051453021	1	0	1	0	1	1	1	0	0.72787614	0.32503074	0.11093454	0.046146246	0.55792381	1.1447549
30	800	9.7028449e-05	0.01744653	0.005019458	0.013880281	0.0055519556	1	0	1	1	1	0	1	0	0.76318749	0.34612064	0.1035466	0.042341586	0.41446892	1.0462124
31	800	0.00011731676	0.01331026	0.0036959267	0.014814675	0.0041491158	1	1	1	0	1	0	1	0	0.73977144	0.3358141	0.097007774	0.055357591	0.48617744	1.1366245
32	800	0.00030315515	0.012570774	0.0027231943	0.014128479	0.0032016615	1	1	1	1	1	1	1	1	0.62891652	0.31238054	0.086685591	0.03077743	0.6545578	0.99332489
33	800	0.00036654385	0.023072072	0.0018693643	0.012960947	0.0018775524	1	1	1	1	1	1	1	1	0.59779302	0.28232356	0.08037976	0.036948366	0.62668116	0.99070033
34	800	0.00030315515	0.010238265	0.0029597885	0.013991338	0.0037864615	1	1	1	1	0	0	1	0	0.68948395	0.27864478	0.11630705	0.039730376	0.5217754	1.0230141
35	800	0.0002073686	0.025467749	0.0027734073	0.019507146	0.0032417496	1	1	0	1	1	1	0	0	0.66881901	0.31267905	0.078035685	0.033318083	0.2837169	1.017518
36	800	0.0002073686	0.015732749	0.0025538596	0.013300455	0.0033791709	1	1	1	1	1	1	1	1	0.65817183	0.31470933	0.102167	0.044020305	0.60436526	0.98944142
37	800	0.00036654385	0.017659383	0.0020793629	0.014279444	0.0023051498	1	1	1	1	1	0	0	1	0.63996942	0.29350034	0.1065384	0.061874606	0.55004198	1.0110078
