rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	400	0.0002073686	0.015232591	0.0048309367	0.014068324	0.0051236094	1	1	1	1	1	1	1	0	0.74692396	0.34094514	0.14734738	0.052905653	0.52495631	1.0446506
2	400	8.024872e-05	0.02528005	0.0055638208	0.027293165	0.0071528383	1	0	1	1	1	1	1	0	0.88245969	0.37938639	0.13364975	0.056113027	0.35198236	1.102437
3	400	0.00030315515	0.052606525	0.0063033813	0.029149289	0.0062530655	1	0	1	1	1	1	0	1	0.71963416	0.35521614	0.10848583	0.047932461	0.60914184	1.0197484
4	400	0.00025072866	0.030663246	0.0028848083	0.023061358	0.0041923368	0	1	1	1	1	0	1	0	0.73407905	0.34269944	0.17123225	0.050247034	0.67322547	1.0613355
5	400	0.00036654385	0.01932164	0.0025374064	0.0050811477	0.002714228	1	1	1	1	1	1	1	1	0.81355502	0.36016372	0.16239458	0.046465067	0.5446285	0.99618112
6	400	0.00025072866	0.012892728	0.0022771875	0.010127648	0.002808216	1	1	1	1	1	1	1	1	0.80094369	0.34805267	0.11328319	0.047450721	0.66122416	1.041249
7	400	0.00025072866	0.023007877	0.0038371249	0.022322692	0.0042841736	1	1	1	1	1	1	1	0	0.75019369	0.34514943	0.14011935	0.062956885	0.55313366	0.97454386
8	400	0.00014184729	0.015364936	0.0031472294	0.020688711	0.0049426473	1	0	1	1	1	1	1	0	0.7767558	0.37254214	0.14075898	0.070887926	0.66712604	1.1092493
9	400	0.0002073686	0.03320992	0.0054339903	0.024681469	0.0061077202	1	1	1	1	1	1	0	0	0.71414577	0.35939491	0.13412024	0.049066123	0.74999487	0.9922176
10	400	0.00025072866	0.014228629	0.0032869724	0.014409699	0.0044542715	1	1	1	1	1	0	1	0	0.76090491	0.36189562	0.13107126	0.077066337	0.50956098	1.0507882
11	400	0.0002073686	0.020355255	0.0022033897	0.010998411	0.0029974221	1	0	1	1	1	1	1	0	0.73694923	0.33747456	0.12052272	0.041425204	0.46910662	1.0200471
12	400	0.00014184729	0.012170993	0.0051210465	0.0089302689	0.0058550887	1	1	1	1	1	1	1	0	0.84640256	0.36004745	0.15345788	0.049229766	0.45029544	1.0229704
13	400	0.00030315515	0.022948919	0.004314073	0.020668741	0.0040029619	1	1	1	1	1	1	1	1	0.73612345	0.36060634	0.14326483	0.04575637	0.34284939	1.0139163
14	400	0.00030315515	0.024497617	0.0035109517	0.010311672	0.004760744	1	1	1	1	1	0	1	1	0.68023833	0.37406452	0.11907538	0.05643517	0.59908718	0.98530937
15	400	0.0002073686	0.034158795	0.0033142719	0.017775474	0.0044115639	1	1	0	1	1	1	0	0	0.71983794	0.34874699	0.097426776	0.046184207	0.85760079	1.0292332
16	400	0.00030315515	0.042681782	0.0036083482	0.02564115	0.0035508857	1	1	1	1	1	0	1	0	0.72161348	0.31711852	0.13698029	0.04028438	0.62702293	1.0212281
17	400	0.0002073686	0.051383192	0.0045084388	0.044631141	0.0045765549	1	1	1	1	1	1	0	0	0.78221677	0.33530983	0.12885029	0.044333492	0.4667686	1.0183769
18	400	0.00025072866	0.025923594	0.0019162624	0.012844725	0.0026453916	1	1	1	1	1	1	1	1	0.75713646	0.34423913	0.098484301	0.037945356	0.50836072	1.0211767
19	400	0.00014184729	0.011974791	0.0027276802	0.016807635	0.0037391639	1	1	1	1	1	1	1	0	0.80345704	0.37320449	0.10336691	0.040805435	0.50009053	0.95761083
20	400	0.0002073686	0.01378481	0.0042611873	0.0088676585	0.0049808884	1	1	1	1	1	1	1	0	0.72071264	0.33333491	0.10639677	0.043443331	0.67082204	0.98070944
21	400	0.0002073686	0.02307696	0.0025737651	0.014490455	0.0038279704	1	1	1	0	1	1	1	1	0.74189434	0.33875897	0.11461365	0.04099619	0.56293156	1.128641
22	400	0.00036654385	0.031436721	0.0040987584	0.012421195	0.0046613098	1	1	1	1	1	1	1	0	0.67946435	0.35937086	0.12493829	0.051050441	0.58241762	1.0225752
23	400	0.00017150707	0.019230853	0.0053533008	0.018060881	0.006737001	1	0	1	1	1	0	1	0	0.8650354	0.36885645	0.13908252	0.057237398	0.7857815	1.0305063
24	400	0.00017150707	0.038646467	0.0033306865	0.032799394	0.0047910422	1	1	1	0	1	1	1	1	0.88713401	0.36007492	0.12496324	0.043332068	0.66103359	1.0926608
25	400	0.00017150707	0.025071291	0.0043210136	0.018799819	0.005231531	1	1	1	1	1	1	1	0	0.74448657	0.34934579	0.12027167	0.049503715	0.63916164	1.0783301
26	400	0.00017150707	0.033019525	0.0032140166	0.020147347	0.0042829526	1	0	1	1	1	1	1	0	0.72609941	0.32643547	0.11676363	0.042678101	0.74821671	1.0275206
27	400	0.00025072866	0.049706295	0.0045166764	0.041272699	0.0048209217	1	0	1	1	1	1	1	0	0.79465614	0.35111417	0.13497873	0.051847931	0.71370586	1.038339
28	400	0.00014184729	0.069724223	0.0036565155	0.050784376	0.0047541459	0	1	1	1	1	1	0	0	0.8920834	0.40085183	0.14076299	0.049402374	0.62354355	0.98115883
29	400	0.00036654385	0.044015004	0.0027490057	0.020869228	0.0036278505	1	1	1	1	1	0	1	1	0.72870877	0.339283	0.11976526	0.050742419	0.69185694	1.0013894
30	400	0.0002073686	0.028438987	0.0025945832	0.014805679	0.003531765	1	1	1	0	1	1	1	0	0.74456451	0.34992842	0.11360971	0.031792316	0.61453579	1.0872862
31	400	0.0002073686	0.01875238	0.0035136891	0.018265319	0.0044829358	1	1	1	1	1	0	1	0	0.71838818	0.34612901	0.1342988	0.05553222	0.58899981	0.98450287
32	400	4.539993e-05	0.035081813	0.0052239441	0.049648462	0.0073037079	1	1	1	0	1	0	1	0	0.94049996	0.37906715	0.12299687	0.049115485	0.76973652	0.892307
33	400	0.0004431869	0.048632542	0.0023994864	0.02105526	0.002679964	1	1	1	1	1	1	1	1	0.6880306	0.37778963	0.099075786	0.05837382	0.62015625	0.92605381
34	400	0.00025072866	0.057670255	0.0042585798	0.034585294	0.0043599172	1	1	1	1	1	1	0	0	0.81698185	0.34762966	0.13612936	0.057907417	0.61600581	1.0468343
35	400	0.00025072866	0.03447153	0.0037111718	0.023502215	0.003802512	1	1	1	0	1	1	1	0	0.7307012	0.35531054	0.10735917	0.028805098	0.56792666	1.0686968
36	400	0.00017150707	0.029056094	0.0049893406	0.028949818	0.0054995774	1	0	0	1	1	1	1	0	0.81683578	0.34319978	0.15028962	0.024407257	0.26157708	1.0349157
37	400	0.00025072866	0.026530607	0.0018998066	0.021245882	0.0021058879	1	1	1	0	1	1	1	0	0.6972241	0.32478494	0.12319395	0.05102645	0.35185484	1.106032
38	400	0.0002073686	0.010402757	0.0032374048	0.009240642	0.0034646489	1	1	1	0	1	0	1	0	0.76591513	0.33302517	0.12576854	0.027533378	0.47102507	1.0752958
39	400	0.00011731676	0.015862313	0.0048963691	0.018019846	0.0059353971	1	0	1	1	1	1	1	0	0.81842698	0.384168	0.12764437	0.070806227	0.43429269	1.0607936
40	400	0.00036654385	0.029173503	0.0026683541	0.010249935	0.0030941793	1	1	1	1	1	1	1	0	0.66749526	0.34600127	0.12463875	0.046017167	0.58799417	0.97829778
41	400	0.00025072866	0.020179278	0.0056856779	0.013209647	0.0055839908	1	1	1	1	1	1	1	0	0.79705431	0.34584648	0.1659701	0.057543223	0.38989265	1.0404232
42	400	0.00030315515	0.029400066	0.0044965635	0.020948932	0.0046344593	1	1	1	0	1	1	1	1	0.71825457	0.37149423	0.12069877	0.073594067	0.52762706	1.1567153
43	400	8.024872e-05	0.039173604	0.0056509697	0.060253532	0.0077758504	0	0	0	0	0	1	0	0	0.83827543	0.37923731	0.10580305	0.034166933	0.89453329	1.0802456
44	400	0.00017150707	0.044138052	0.004123996	0.022734147	0.0049656545	1	0	1	1	1	1	1	0	0.81999605	0.37393346	0.13233259	0.063919947	0.48742395	1.0209303
45	400	0.0002073686	0.036249367	0.0029056718	0.028473698	0.0042445345	1	1	1	1	1	0	1	0	0.80256045	0.34110034	0.11393848	0.044510299	0.43542085	0.96198479
46	400	0.00030315515	0.021754911	0.0032000708	0.011841125	0.0040676454	1	1	1	1	1	0	1	0	0.68712587	0.33465032	0.10708969	0.047610859	0.56692923	1.0181847
47	400	0.0002073686	0.028747219	0.0035315011	0.01592237	0.0046016701	1	1	1	1	1	1	1	0	0.75248283	0.37372173	0.13603381	0.059787959	0.51127257	0.97968047
48	400	0.00030315515	0.043330545	0.003128451	0.020102922	0.0038283646	1	1	1	1	1	1	1	1	0.71762497	0.33467879	0.1172976	0.044037335	0.5476215	1.0617281
49	400	0.00030315515	0.025022382	0.0021533757	0.013695095	0.0028714166	1	1	1	1	1	1	1	1	0.67514866	0.31695728	0.1056963	0.042881427	0.58612883	1.0240648
50	400	0.0002073686	0.015033775	0.0066708465	0.01129678	0.0068003917	1	0	1	1	1	1	1	0	0.72354521	0.35167059	0.12749863	0.049598581	0.74634836	0.97884968
