rep	T	lambda	imse_raw_1	imse_raw_2	imse_bc_1	imse_bc_2	pw_025_1	pw_025_2	pw_050_1	pw_050_2	pw_075_1	pw_075_2	scb_1	scb_2	scb_w_1	scb_w_2	se_mid_1	se_mid_2	theta_mid_1	theta_mid_2
1	800	0.0076471846	0.049636066	0.0085030153	0.045239465	0.010546348	1	1	1	1	1	1	1	1	1.1293117	0.60776061	0.20280984	0.13734389	0.39649104	0.79716094
2	800	0.01117953	0.063721597	0.0040814174	0.083739687	0.0052480068	1	1	1	1	0	1	1	1	1.1610016	0.59547569	0.23611252	0.13445188	0.82351129	0.91710331
3	800	0.00432632	0.050277862	0.010670083	0.029592785	0.013661739	1	0	1	1	1	1	1	1	1.2244736	0.70713444	0.20402362	0.11861313	0.70782401	1.0332599
4	800	0.0076471846	0.039183555	0.0055292905	0.027338633	0.0078034416	1	1	1	1	1	1	1	1	1.1774744	0.62849834	0.1917411	0.10213442	0.48417232	0.88740798
5	800	0.0076471846	0.068558764	0.0079499732	0.053398604	0.013285003	1	1	1	1	1	1	1	1	1.2122321	0.62420601	0.20684734	0.12581587	0.61700993	1.1891056
6	800	0.00432632	0.09584299	0.0075316171	0.084508598	0.0098220848	1	1	1	1	1	1	1	1	1.3571322	0.71080797	0.21151651	0.16769454	0.71489611	0.97864767
7	800	0.0076471846	0.064575203	0.0072639988	0.037997292	0.013304689	1	1	1	1	1	1	1	1	1.1431459	0.67699922	0.21578839	0.13765363	0.80345218	0.98332939
8	800	0.00432632	0.089132122	0.011591098	0.065132965	0.016237659	1	1	1	1	1	1	1	1	1.3481455	0.77642914	0.22507275	0.16660595	0.99958182	0.84537811
9	800	0.0035781428	0.013655119	0.0077234993	0.014070795	0.0075902081	1	1	1	1	1	1	1	1	1.3641087	0.73592435	0.18837531	0.14372421	0.47918487	0.95072982
10	800	0.0024475733	0.03621221	0.004340599	0.035207151	0.0054540049	1	1	1	1	1	1	1	1	1.3311168	0.73917774	0.2403909	0.11077174	0.22463155	1.0897251
11	800	0.0092461845	0.054456664	0.0060700054	0.046511882	0.011846766	0	1	1	1	1	1	1	1	1.0732006	0.58090549	0.15944983	0.10702605	0.46727487	1.0103111
12	800	0.0035781428	0.031228998	0.005207798	0.052017887	0.006455013	1	1	1	1	1	1	1	0	1.4066516	0.77450003	0.24815327	0.13930664	0.63231181	0.94908766
13	800	0.0011452276	0.091850462	0.011153144	0.095335327	0.014107071	1	1	1	1	1	1	1	1	1.5425829	0.84781481	0.27161602	0.17750015	0.85033004	1.1700241
14	800	0.0063247097	0.088915215	0.0041072149	0.076054417	0.0056534845	1	1	1	1	1	1	1	1	1.2191556	0.63525878	0.20421034	0.11613142	0.61975637	1.0482695
15	800	0.0092461845	0.037383547	0.0044378281	0.019582844	0.0076554996	1	1	1	1	1	1	1	1	1.053414	0.57189724	0.22458826	0.10342318	0.42807604	1.1236575
16	800	0.01117953	0.053016358	0.0082748758	0.064270834	0.0093960966	1	1	0	1	1	0	1	1	1.1007093	0.56663387	0.19111434	0.10804752	0.083641422	1.048401
17	800	0.0029593524	0.02059716	0.0091398332	0.024550273	0.011833613	1	1	1	1	1	1	1	1	1.2437929	0.65245798	0.22152198	0.10807165	0.92636579	0.98936377
18	800	0.023892822	0.085850995	0.0045050522	0.094224992	0.004314028	1	1	1	1	0	1	0	1	0.90543898	0.46773051	0.14727192	0.12675141	0.78939311	1.0661558
19	800	0.0052309386	0.04169102	0.0096181832	0.023542552	0.014988146	1	1	1	1	1	1	1	1	1.3805534	0.74733106	0.22420302	0.13363774	0.59888655	0.94653578
20	800	0.0013846907	0.050958983	0.0062672239	0.046282712	0.0090793801	1	1	1	1	1	1	1	0	1.5211117	0.76341268	0.25097207	0.16223681	0.70868642	1.1814918
21	800	0.019760888	0.058564745	0.0078939173	0.044219742	0.012695588	1	1	1	1	0	1	1	1	0.97049669	0.50762243	0.14793546	0.076534761	0.66930316	0.93808694
22	800	0.0029593524	0.013980276	0.0085574541	0.015808932	0.010318855	1	1	1	1	1	1	1	1	1.3080887	0.69522909	0.23725964	0.14177776	0.6603076	1.1653725
23	800	0.0016742247	0.035223363	0.014600676	0.043274306	0.01551549	1	1	1	1	1	1	1	0	1.4579801	0.81005844	0.2779288	0.16508086	0.55164387	0.8303332
24	800	0.00432632	0.048662294	0.0049585611	0.042559807	0.007376785	1	1	1	1	1	1	1	1	1.2592955	0.69693141	0.20861553	0.17795505	0.53390959	0.96361264
25	800	0.0063247097	0.019125502	0.0019519709	0.0082250067	0.0030397893	1	1	1	1	1	1	1	1	1.2014806	0.63426348	0.19214562	0.14039188	0.59912851	1.0042885
26	800	0.0076471846	0.061598598	0.0054628319	0.064126535	0.0081776653	0	1	1	1	1	1	1	1	1.0325789	0.61089397	0.13420466	0.13135009	0.71940972	0.92368701
27	800	0.0020242993	0.12205829	0.010622311	0.12225069	0.010900913	1	1	1	1	1	1	1	1	1.5335779	0.80151625	0.25667393	0.15550949	0.7630519	0.84500874
28	800	0.0063247097	0.064654232	0.007271398	0.0452246	0.010102755	1	1	1	1	1	1	1	0	1.1419852	0.60977898	0.19035353	0.14013105	0.54396251	1.1202514
29	800	0.01117953	0.031119391	0.016285674	0.030863501	0.017983884	1	1	1	1	1	1	1	1	1.0580179	0.59370651	0.14874152	0.14914972	0.84701706	0.82141752
